Symbol,Date,Open,High,Low,Close,Volume
AAPL,2022-01-21,197.70,198.60,196.33,198.40,53831000
AAPL,2022-01-24,198.25,200.42,197.30,199.35,68183000
AAPL,2022-01-25,199.35,201.99,198.68,200.75,73395000
AMZN,2022-02-03,3589.00,3605.00,3550.00,3572.25,3008700
AMZN,2022-02-04,3581.00,3594.00,3550.00,3593.50,2558700
AMZN,2022-02-07,3593.00,3609.98,3562.50,3607.00,2549700
AMZN,2022-02-08,3609.00,3625.00,3568.10,3614.50,2232100
GOOGL,2022-01-06,2902.00,,2873.27,2900.75,1137800
GOOGL,2022-01-07,2900.00,2925.55,2895.26,2918.00,1077200
GOOGL,2022-01-17,195.80,196.84,194.40,196.05,63818000
GOOGL,2022-01-18,196.15,196.75,194.81,195.45,62109000
GOOGL,2022-01-19,195.70,196.35,194.24,195.89,52569000
GOOGL,,195.62,197.75,194.99,197.20,
