Symbol,Date,Open,High,Low,Close,Volume
GOOGL,2022-01-03,2855.00,2885.05,2838.79,2882.50,2018700
GOOGL,2022-01-04,2883.75,2901.40,2857.47,2889.50,1629800
GOOGL,2022-01-05,2898.50,2920.37,2873.07,2905.25,1576100
,2022-01-10,2917.50,2927.84,2898.01,2923.75,888700
AMZN,2022-01-03,3178.00,3198.21,3141.11,3190.95,3101500
AMZN,2022-01-04,3200.00,3238.50,,3234.50,2730600
AMZN,2022-01-05,3242.50,3289.29,3230.00,3274.00,3229600
AAPL,2022-02-09,210.25,212.78,209.28,211.50,75806000
AAPL,2022-02-10,211.20,212.37,209.95,210.80,66693000
AAPL,2022-02-11,210.50,213.40,209.50,212.20,67829000
AAPL,2022-01-11,193.15,193.75,191.81,192.45,60109000
