Symbol,Date,Open,High,Low,Close,Volume
AMZN,2022-02-09,3615.0,3645.0,3604.01,3634.0,2457100
AMZN,2022-02-10,3636.0,3643.0,3605.0,3638.5,1994600
AMZN,2022-02-11,3638.0,3658.74,3617.45,3656.0,2225400
AMZN,2022-01-31,3479.0,3498.21,3442.11,3490.95,3101500
AMZN,2022-02-01,3500.0,3538.5,3486.49,3534.5,2730600
AMZN,2022-02-02,3536.5,3583.29,3524.0,3574.0,3229600
AMZN,2022-01-17,3343.0,3358.21,3310.11,3349.95,3101500
AMZN,2022-01-18,3359.0,3378.5,3336.49,3374.5,2730600
AMZN,2022-01-11,3289.0,3305.0,3258.1,3294.5,2232100
AMZN,2022-01-12,3295.0,3325.0,3284.01,3314.0,2457100
AMZN,2022-01-14,3322.0,3342.74,3301.45,3340.0,2225400
AMZN,2022-02-03,3589.0,3605.0,3550.0,3572.25,3008700
AMZN,2022-02-04,3581.0,3594.0,3550.0,3593.5,2558700
AMZN,2022-02-07,3593.0,3609.98,3562.5,3607.0,2549700
AMZN,2022-02-08,3609.0,3625.0,3568.1,3614.5,2232100
AMZN,2022-01-06,3289.0,3305.0,3250.0,3272.25,3008700
AMZN,2022-01-27,3456.0,3463.0,3425.0,3458.5,1994600
AMZN,2022-01-28,3458.0,3478.74,3437.45,3476.0,2225400
AMZN,2022-01-03,3178.0,3198.21,3141.11,3190.95,3101500
AMZN,2022-01-05,3242.5,3289.29,3230.0,3274.0,3229600
